date,department,day_index,occupancy,er_wait_min,satisfaction,cost_per_discharge,staff_ratio,admissions,readmission_rate,licensed_beds
2026-05-18,Emergency,0,0.8337,50.2,3.72,2168.49,3.67,5,0.1255,40
2026-05-19,Emergency,1,0.8178,47.7,3.69,2084.72,3.57,4,0.1188,40
2026-05-20,Emergency,2,0.8397,51.2,3.72,2189.65,3.65,6,0.1272,40
2026-05-21,Emergency,3,0.8326,50.1,3.71,2149.34,3.6,5,0.1239,40
2026-05-22,Emergency,4,0.8033,45.5,3.66,1998.54,3.43,3,0.1119,40
2026-05-23,Emergency,5,0.9083,55.1,3.7,2218.91,3.63,7,0.1295,40
2026-05-24,Emergency,6,0.8985,53.6,3.68,2165.28,3.56,6,0.1252,40
2026-05-25,Emergency,7,0.8406,51.5,3.71,2171.52,3.55,6,0.1257,40
2026-05-26,Emergency,8,0.8086,46.5,3.66,2007.03,3.36,3,0.1126,40
2026-05-27,Emergency,9,0.8256,49.2,3.68,2087.6,3.43,4,0.119,40
2026-05-28,Emergency,10,0.8225,48.8,3.67,2067.7,3.39,4,0.1174,40
2026-05-29,Emergency,11,0.8512,53.4,3.71,2206.69,3.51,6,0.1285,40
2026-05-30,Emergency,12,0.898,53.7,3.66,2135.97,3.42,5,0.1229,40
2026-05-31,Emergency,13,0.9078,55.3,3.68,2180.69,3.45,6,0.1265,40
2026-06-01,Emergency,14,0.8298,50.1,3.67,2085.85,3.33,4,0.1189,40
2026-06-02,Emergency,15,0.8199,48.5,3.65,2031.81,3.26,4,0.1145,40
2026-06-03,Emergency,16,0.8371,51.3,3.68,2113.65,3.33,5,0.1211,40
2026-06-04,Emergency,17,0.8135,47.6,3.64,1990.95,3.18,3,0.1113,40
2026-06-05,Emergency,18,0.8526,53.9,3.69,2181.91,3.36,6,0.1266,40
2026-06-06,Emergency,19,0.9037,54.9,3.65,2132.92,3.29,5,0.1226,40
2026-06-07,Emergency,20,0.9109,56.1,3.66,2164.52,3.3,6,0.1252,40
2026-06-08,Emergency,21,0.8316,50.6,3.65,2063.63,3.19,4,0.1171,40
2026-06-09,Emergency,22,0.8633,55.7,3.69,2217.67,3.32,6,0.1294,40
2026-06-10,Emergency,23,0.8604,55.3,3.69,2198.28,3.28,6,0.1279,40
2026-06-11,Emergency,24,0.8555,54.5,3.68,2169.6,3.24,6,0.1256,40
2026-06-12,Emergency,25,0.8272,50.1,3.63,2023.66,3.07,4,0.1139,40
2026-06-13,Emergency,26,0.9017,54.8,3.63,2091.68,3.12,5,0.1193,40
2026-06-14,Emergency,27,0.8815,51.6,3.6,1985.95,3.0,4,0.1109,40
2026-06-15,Emergency,28,0.8279,50.3,3.63,2013.57,3.01,4,0.1131,40
2026-06-16,Emergency,29,0.8553,54.7,3.66,2145.76,3.12,5,0.1237,40
2026-06-17,Emergency,30,0.8592,55.4,3.66,2161.19,3.12,6,0.1249,40
2026-06-18,Emergency,31,0.8713,57.3,3.68,2216.88,3.16,6,0.1294,40
2026-06-19,Emergency,32,0.8401,52.4,3.63,2056.46,2.98,4,0.1165,40
2026-06-20,Emergency,33,0.9032,55.3,3.61,2067.61,2.97,5,0.1174,40
2026-06-21,Emergency,34,0.9091,56.3,3.61,2092.39,2.98,5,0.1194,40
2026-06-22,Emergency,35,0.836,51.8,3.62,2022.37,2.89,4,0.1138,40
2026-06-23,Emergency,36,0.8339,51.5,3.61,2007.48,2.86,4,0.1126,40
2026-06-24,Emergency,37,0.8521,54.5,3.63,2093.93,2.93,5,0.1195,40
2026-06-25,Emergency,38,0.8405,52.7,3.61,2031.73,2.85,4,0.1145,40
2026-06-26,Emergency,39,0.8636,56.4,3.64,2142.45,2.94,5,0.1234,40
2026-06-27,Emergency,40,0.9129,57.1,3.6,2084.29,2.86,5,0.1187,40
2026-06-28,Emergency,41,0.9335,60.4,3.63,2183.17,2.95,6,0.1267,40
2026-06-29,Emergency,42,0.8678,57.2,3.64,2150.07,2.89,5,0.124,40
2026-06-30,Emergency,43,0.8493,54.2,3.61,2053.09,2.78,4,0.1162,40
2026-07-01,Emergency,44,0.8762,58.6,3.64,2183.06,2.89,6,0.1266,40
2026-07-02,Emergency,45,0.8757,58.5,3.64,2176.19,2.87,6,0.1261,40
2026-07-03,Emergency,46,0.8558,55.4,3.61,2071.87,2.74,4,0.1177,40
2026-07-04,Emergency,47,0.9117,57.2,3.58,2047.08,2.7,4,0.1158,40
2026-07-05,Emergency,48,0.9323,60.5,3.6,2145.62,2.78,6,0.1236,40
2026-07-06,Emergency,49,0.8461,53.9,3.59,2009.94,2.63,4,0.1128,40
2026-07-07,Emergency,50,0.85,54.6,3.59,2024.98,2.62,4,0.114,40
2026-07-08,Emergency,51,0.8413,53.2,3.57,1976.84,2.56,3,0.1101,40
2026-07-09,Emergency,52,0.8811,59.7,3.63,2171.73,2.74,6,0.1257,40
2026-07-10,Emergency,53,0.8759,58.9,3.62,2141.21,2.69,5,0.1233,40
2026-07-11,Emergency,54,0.9389,61.8,3.59,2151.29,2.68,6,0.1241,40
2026-07-12,Emergency,55,0.9435,62.5,3.6,2170.18,2.68,6,0.1256,40
2026-07-13,Emergency,56,0.8683,57.8,3.6,2089.73,2.58,5,0.1192,40
2026-07-14,Emergency,57,0.8747,58.8,3.6,2117.19,2.59,5,0.1214,40
2026-07-15,Emergency,58,0.8542,55.6,3.57,2009.95,2.47,4,0.1128,40
2026-07-16,Emergency,59,0.8538,55.5,3.57,2003.63,2.44,4,0.1123,40
2026-07-17,Emergency,60,0.8824,60.1,3.6,2142.1,2.56,5,0.1234,40
2026-07-18,Emergency,61,0.9335,61.1,3.56,2092.77,2.49,5,0.1194,40
2026-07-19,Emergency,62,0.9391,62.1,3.57,2116.31,2.5,5,0.1213,40
2026-07-20,Emergency,63,0.8899,61.5,3.61,2166.25,2.53,6,0.1253,40
2026-07-21,Emergency,64,0.8843,60.6,3.59,2133.68,2.48,5,0.1227,40
2026-07-22,Emergency,65,0.8812,60.1,3.59,2113.39,2.44,5,0.1211,40
2026-07-23,Emergency,66,0.8824,60.4,3.59,2114.8,2.43,5,0.1212,40
2026-07-24,Emergency,67,0.8705,58.5,3.57,2050.99,2.34,4,0.1161,40
2026-07-25,Emergency,68,0.9177,58.9,3.52,1982.7,2.26,4,0.1106,40
2026-07-26,Emergency,69,0.9389,62.3,3.55,2084.18,2.34,5,0.1187,40
2026-07-27,Emergency,70,0.8687,58.3,3.55,2028.65,2.27,4,0.1143,40
2026-07-28,Emergency,71,0.8793,60.0,3.57,2077.13,2.3,5,0.1182,40
2026-07-29,Emergency,72,0.9025,63.8,3.6,2188.35,2.39,6,0.1271,40
2026-07-30,Emergency,73,0.8724,59.0,3.55,2033.48,2.22,4,0.1147,40
2026-07-31,Emergency,74,0.8645,57.8,3.54,1989.58,2.16,4,0.1112,40
2026-08-01,Emergency,75,0.9366,62.2,3.53,2045.35,2.2,5,0.1156,40
